,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
67,Granada,Betis,39%,61%,275 of 365 — 75%,82% — 465 of 565,7 of 18 — 39%,23% — 3 of 13
68,Osasuna,Atlético Madrid,55%,45%,447 of 570 — 78%,78% — 366 of 472,2 of 13 — 15%,60% — 3 of 5
69,Barcelona,Sevilla,58%,42%,431 of 519 — 83%,74% — 280 of 378,4 of 18 — 22%,25% — 3 of 12
70,Getafe,Villarreal,64%,36%,426 of 533 — 80%,69% — 209 of 302,9 of 22 — 41%,0% — 0 of 3
71,Rayo Vallecano,Mallorca,60%,40%,434 of 541 — 80%,67% — 238 of 356,4 of 18 — 22%,44% — 4 of 9
72,Girona,Real Madrid,52%,48%,529 of 602 — 88%,88% — 483 of 546,3 of 13 — 23%,50% — 7 of 14
73,Real Sociedad,Athletic Club,51%,49%,323 of 443 — 73%,74% — 316 of 426,5 of 8 — 63%,17% — 3 of 18
74,Almería,Granada,49%,51%,301 of 402 — 75%,78% — 330 of 425,5 of 17 — 29%,12% — 2 of 17
75,Alavés,Osasuna,46%,54%,288 of 410 — 70%,77% — 368 of 478,3 of 17 — 18%,30% — 3 of 10
76,Atlético Madrid,Cádiz,69%,31%,658 of 771 — 85%,69% — 235 of 339,9 of 18 — 50%,50% — 4 of 8
77,Betis,Valencia,55%,45%,459 of 544 — 84%,79% — 347 of 441,7 of 15 — 47%,22% — 2 of 9
78,Las Palmas,Celta Vigo,73%,27%,687 of 791 — 87%,67% — 193 of 286,4 of 15 — 27%,27% — 3 of 11
79,Athletic Club,Almería,59%,41%,461 of 557 — 83%,74% — 289 of 391,9 of 23 — 39%,25% — 1 of 4
80,Cádiz,Girona,27%,73%,136 of 243 — 56%,86% — 571 of 666,2 of 8 — 25%,25% — 5 of 20
81,Real Madrid,Osasuna,67%,33%,673 of 745 — 90%,79% — 294 of 371,8 of 18 — 44%,14% — 1 of 7
82,Mallorca,Valencia,49%,51%,381 of 488 — 78%,79% — 400 of 509,5 of 9 — 56%,27% — 3 of 11
83,Sevilla,Rayo Vallecano,64%,36%,389 of 507 — 77%,63% — 184 of 291,6 of 22 — 27%,57% — 4 of 7
84,Villarreal,Las Palmas,49%,51%,374 of 461 — 81%,84% — 398 of 472,4 of 9 — 44%,57% — 4 of 7
85,Atlético Madrid,Real Sociedad,38%,62%,270 of 369 — 73%,85% — 513 of 604,4 of 13 — 31%,31% — 4 of 13
86,Alavés,Betis,40%,60%,285 of 389 — 73%,82% — 486 of 592,5 of 15 — 33%,33% — 2 of 6
87,Celta Vigo,Getafe,74%,26%,540 of 658 — 82%,54% — 124 of 230,10 of 25 — 40%,67% — 2 of 3
88,Granada,Barcelona,20%,80%,131 of 205 — 64%,88% — 725 of 823,2 of 7 — 29%,45% — 10 of 22
89,Osasuna,Granada,58%,42%,432 of 562 — 77%,72% — 294 of 408,5 of 11 — 45%,23% — 3 of 13
90,Real Sociedad,Mallorca,56%,44%,330 of 441 — 75%,66% — 225 of 343,6 of 14 — 43%,33% — 6 of 18
91,Getafe,Betis,45%,55%,275 of 389 — 71%,78% — 372 of 475,3 of 13 — 23%,23% — 3 of 13
92,Sevilla,Real Madrid,49%,51%,445 of 511 — 87%,88% — 469 of 535,6 of 17 — 35%,29% — 4 of 14
93,Celta Vigo,Atlético Madrid,36%,64%,375 of 456 — 82%,90% — 723 of 807,3 of 16 — 19%,55% — 6 of 11
94,Las Palmas,Rayo Vallecano,60%,40%,493 of 607 — 81%,73% — 296 of 404,5 of 11 — 45%,27% — 3 of 11
95,Girona,Almería,66%,34%,578 of 664 — 87%,73% — 243 of 335,8 of 19 — 42%,56% — 5 of 9
96,Villarreal,Alavés,68%,32%,540 of 629 — 86%,67% — 200 of 299,2 of 11 — 18%,44% — 7 of 16
97,Barcelona,Athletic Club,62%,38%,484 of 576 — 84%,73% — 260 of 354,7 of 12 — 58%,30% — 3 of 10
98,Valencia,Cádiz,61%,39%,507 of 590 — 86%,75% — 278 of 371,4 of 12 — 33%,80% — 4 of 5
99,Girona,Celta Vigo,65%,35%,552 of 652 — 85%,73% — 251 of 345,2 of 12 — 17%,50% — 2 of 4
100,Almería,Las Palmas,41%,59%,308 of 438 — 70%,81% — 507 of 625,4 of 10 — 40%,30% — 3 of 10
101,Barcelona,Real Madrid,53%,47%,503 of 591 — 85%,88% — 469 of 533,3 of 15 — 20%,31% — 4 of 13
