,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
86,2022-10-16,87,Dom,Real Madrid,Barcelona,3,1,1.1,2.0,0.44,0.56,7.0,3.0,0.43,18.0,5.0,0.28,447.0,369.0,0.83,576.0,508.0,0.88
87,2022-10-16,88,Dom,Espanyol,Valladolid,1,0,1.3,0.7,0.49,0.51,15.0,3.0,0.2,14.0,2.0,0.14,418.0,309.0,0.74,437.0,333.0,0.76
88,2022-10-16,89,Dom,Betis,Almería,3,1,2.5,0.8,0.54,0.46,16.0,6.0,0.38,12.0,5.0,0.42,564.0,458.0,0.81,475.0,390.0,0.82
89,2022-10-17,90,Lun,Villarreal,Osasuna,2,0,1.5,0.5,0.58,0.42,11.0,8.0,0.73,14.0,3.0,0.21,454.0,369.0,0.81,326.0,249.0,0.76
90,2022-10-18,91,Mar,Sevilla,Valencia,1,1,1.1,1.8,0.64,0.36,18.0,5.0,0.28,12.0,4.0,0.33,548.0,451.0,0.82,313.0,234.0,0.75
91,2022-10-18,92,Mar,Getafe,Athletic Club,2,2,0.8,1.0,0.41,0.59,11.0,4.0,0.36,14.0,4.0,0.29,411.0,282.0,0.69,580.0,465.0,0.8
92,2022-10-18,93,Mar,Atlético Madrid,Rayo Vallecano,1,1,1.1,1.8,0.52,0.48,12.0,4.0,0.33,13.0,3.0,0.23,572.0,470.0,0.82,524.0,416.0,0.79
93,2022-10-19,94,Mié,Cádiz,Betis,0,0,0.9,0.9,0.41,0.59,13.0,3.0,0.23,12.0,3.0,0.25,381.0,278.0,0.73,552.0,447.0,0.81
94,2022-10-19,95,Mié,Valladolid,Celta Vigo,4,1,1.5,2.6,0.38,0.62,8.0,6.0,0.75,21.0,4.0,0.19,327.0,228.0,0.7,537.0,443.0,0.82
95,2022-10-19,96,Mié,Real Sociedad,Mallorca,1,0,1.2,0.9,0.51,0.49,14.0,7.0,0.5,12.0,3.0,0.25,448.0,352.0,0.79,424.0,316.0,0.75
