,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
210,Sevilla,Celta Vigo,65%,35%,510 of 631 — 81%,68% — 232 of 340,4 of 16 — 25%,67% — 4 of 6,2 of 4 — 50%,50% — 2 of 4
211,Atlético Madrid,Valencia,64%,36%,404 of 510 — 79%,58% — 164 of 281,6 of 16 — 38%,43% — 3 of 7,1 of 3 — 33%,50% — 3 of 6
212,Granada,Osasuna,55%,45%,282 of 435 — 65%,65% — 231 of 357,2 of 6 — 33%,44% — 7 of 16,5 of 7 — 71%,100% — 2 of 2
213,Real Madrid,Elche,65%,35%,577 of 675 — 85%,78% — 285 of 364,7 of 21 — 33%,67% — 2 of 3,0 of 2 — 0%,85% — 6 of 7
214,Real Sociedad,Getafe,70%,30%,567 of 699 — 81%,60% — 179 of 299,3 of 9 — 33%,22% — 2 of 9,2 of 2 — 100%,100% — 3 of 3
215,Rayo Vallecano,Athletic Club,67%,33%,463 of 606 — 76%,61% — 184 of 300,3 of 29 — 10%,33% — 3 of 9,2 of 3 — 66%,100% — 3 of 3
216,Alavés,Barcelona,25%,75%,151 of 252 — 60%,84% — 637 of 754,2 of 6 — 33%,40% — 4 of 10,3 of 4 — 75%,100% — 2 of 2
217,Getafe,Levante,41%,59%,308 of 412 — 75%,78% — 464 of 597,8 of 14 — 57%,18% — 2 of 11,2 of 2 — 100%,62% — 5 of 8
218,Elche,Alavés,59%,41%,310 of 437 — 71%,59% — 178 of 303,4 of 14 — 29%,33% — 2 of 6,1 of 2 — 50%,25% — 1 of 4
219,Mallorca,Cádiz,47%,53%,302 of 395 — 76%,80% — 363 of 454,3 of 15 — 20%,42% — 5 of 12,4 of 5 — 80%,100% — 3 of 3
220,Celta Vigo,Rayo Vallecano,52%,48%,374 of 499 — 75%,77% — 359 of 468,3 of 13 — 23%,0% — 0 of 11,0 of 0 — %,33% — 1 of 3
221,Osasuna,Sevilla,27%,73%,197 of 297 — 66%,85% — 687 of 805,3 of 9 — 33%,38% — 3 of 8,3 of 3 — 100%,100% — 3 of 3
222,Valencia,Real Sociedad,40%,60%,177 of 279 — 63%,75% — 312 of 417,3 of 14 — 21%,25% — 2 of 8,2 of 2 — 100%,100% — 3 of 3
223,Barcelona,Atlético Madrid,56%,44%,492 of 577 — 85%,80% — 354 of 445,4 of 9 — 44%,40% — 4 of 10,2 of 4 — 50%,0% — 0 of 4
224,Betis,Villarreal,60%,40%,481 of 580 — 83%,75% — 288 of 384,3 of 9 — 33%,33% — 3 of 9,1 of 3 — 33%,100% — 3 of 3
225,Real Madrid,Granada,66%,34%,585 of 673 — 87%,76% — 266 of 352,11 of 24 — 46%,43% — 3 of 7,3 of 3 — 100%,90% — 10 of 11
226,Athletic Club,Espanyol,44%,56%,308 of 426 — 72%,79% — 432 of 544,4 of 7 — 57%,43% — 3 of 7,2 of 3 — 66%,50% — 2 of 4
227,Sevilla,Elche,57%,43%,418 of 512 — 82%,74% — 292 of 392,6 of 14 — 43%,14% — 1 of 7,1 of 1 — 100%,66% — 4 of 6
228,Cádiz,Celta Vigo,45%,55%,296 of 406 — 73%,78% — 391 of 502,2 of 8 — 25%,0% — 0 of 5,0 of 0 — %,100% — 2 of 2
229,Villarreal,Real Madrid,44%,56%,424 of 507 — 84%,89% — 583 of 655,2 of 9 — 22%,29% — 5 of 17,5 of 5 — 100%,100% — 2 of 2
230,Rayo Vallecano,Osasuna,55%,45%,348 of 499 — 70%,59% — 241 of 408,3 of 10 — 30%,42% — 5 of 12,2 of 5 — 40%,100% — 3 of 3
231,Atlético Madrid,Getafe,50%,50%,344 of 459 — 75%,73% — 333 of 454,6 of 10 — 60%,25% — 2 of 8,1 of 2 — 50%,33% — 2 of 6
232,Alavés,Valencia,41%,59%,177 of 302 — 59%,68% — 298 of 439,4 of 8 — 50%,38% — 3 of 8,3 of 3 — 100%,75% — 3 of 4
233,Levante,Betis,42%,58%,307 of 423 — 73%,81% — 478 of 590,4 of 12 — 33%,58% — 11 of 19,7 of 11 — 63%,50% — 2 of 4
234,Real Sociedad,Granada,56%,44%,425 of 526 — 81%,74% — 301 of 408,7 of 17 — 41%,13% — 2 of 15,2 of 2 — 100%,85% — 6 of 7
235,Espanyol,Barcelona,36%,64%,252 of 336 — 75%,84% — 495 of 589,4 of 10 — 40%,33% — 4 of 12,2 of 4 — 50%,50% — 2 of 4
236,Mallorca,Athletic Club,45%,55%,251 of 377 — 67%,73% — 332 of 457,4 of 15 — 27%,29% — 2 of 7,0 of 2 — 0%,75% — 3 of 4
237,Atlético Madrid,Levante,54%,46%,399 of 524 — 76%,77% — 341 of 442,1 of 10 — 10%,63% — 5 of 8,4 of 5 — 80%,100% — 1 of 1
238,Elche,Rayo Vallecano,44%,56%,288 of 395 — 73%,80% — 403 of 505,5 of 9 — 56%,15% — 2 of 13,1 of 2 — 50%,60% — 3 of 5
239,Granada,Villarreal,39%,61%,208 of 324 — 64%,79% — 410 of 517,3 of 19 — 16%,38% — 5 of 13,3 of 5 — 60%,100% — 3 of 3
240,Osasuna,Atlético Madrid,62%,38%,520 of 669 — 78%,70% — 285 of 409,4 of 14 — 29%,80% — 4 of 5,1 of 4 — 25%,100% — 4 of 4
241,Cádiz,Getafe,64%,36%,463 of 608 — 76%,65% — 222 of 343,2 of 9 — 22%,0% — 0 of 5,0 of 0 — %,50% — 1 of 2
242,Real Madrid,Alavés,69%,31%,637 of 730 — 87%,65% — 212 of 326,7 of 22 — 32%,29% — 2 of 7,2 of 2 — 100%,71% — 5 of 7
243,Espanyol,Sevilla,43%,57%,342 of 428 — 80%,82% — 459 of 558,4 of 11 — 36%,29% — 2 of 7,1 of 2 — 50%,75% — 3 of 4
244,Valencia,Barcelona,36%,64%,202 of 294 — 69%,83% — 426 of 512,5 of 11 — 45%,86% — 6 of 7,2 of 6 — 33%,80% — 4 of 5
245,Betis,Mallorca,55%,45%,477 of 580 — 82%,80% — 381 of 475,4 of 13 — 31%,10% — 1 of 10,0 of 1 — 0%,75% — 3 of 4
246,Athletic Club,Real Sociedad,48%,52%,295 of 407 — 72%,79% — 347 of 442,7 of 17 — 41%,22% — 2 of 9,2 of 2 — 100%,42% — 3 of 7
247,Celta Vigo,Levante,62%,38%,502 of 622 — 81%,72% — 268 of 374,4 of 8 — 50%,23% — 3 of 13,2 of 3 — 66%,75% — 3 of 4
248,Levante,Elche,43%,57%,297 of 402 — 74%,80% — 428 of 532,4 of 11 — 36%,38% — 3 of 8,3 of 3 — 100%,25% — 1 of 4
249,Mallorca,Valencia,67%,33%,431 of 550 — 78%,63% — 168 of 267,3 of 23 — 13%,50% — 4 of 8,3 of 4 — 75%,100% — 3 of 3
